image_file,content_ocr
71HDFYlrWXL.jpg,"SS

HARI BAD

———

ee

SMOKED RED

PAPRIKA

"
81hcr4ufWLS.jpg,
71lghP3ZG3L.jpg,"CBnera

Irener

PURE CURCUMIN
EXTRACT

HERBAL DIETARY SUPPLEMENT

NET WT: 5.5 oz (100 g)
"
81QQi9+VdZL.jpg,"eau Grofmutter.

aed

DEFTIGER |

Unser Versprechen | LINSENTOPF
Precidteeeen | mit Speck

Gemiise und Krautern*®

we Ohne geschmacks-
verstarkende Zusatzstoffe

J Ohne Farbstoffe

¢ oun
< 8921)
8213 kcal

11%

\ pro.100,ml
Pp: wimkeal.
FP
"
71igmVE5pyL.jpg,"WEIGHT: 0.55KG

, REFERENCE
COMPARISON
CEREAL
37(cm)
14.5(inch)
; Cellphone 9.7” Tablet
I ! LT 6.7x13.8em 16.9x24em
30(cm) 11.8(inch) A4 MAGAZINE Tablet
21x29.7cm 24.2x33.9cm
15(cm)
5.9(inch)

13” Laptop Office Folder
21.5x30.5cm 23.5x31.5cm

"
71npFYvL9TL.jpg,"Trying for
Ppaby

with exact recommended level of

400,,FOLIC ACID
WITH IRON & VITAMIN D

Supports normal fertility
& reproduction (zinc)

4 WEEKS SUPPLY
28 ONE-A-DAY
MINI PILLS

"
816KT5cMfeL.jpg,"with end-to-end
plug, connect
up to 9 sets

29V Low voltage adapter
(Safe for human body) » |

N
/ 73 Lowve *,
; G) E DECOR
7 5 STR
No. AC
; 0101510E0 FOR INDOOR
1 a

38 00 days max) instalation and use onlyFor
— sate a

heat and possible damage,use only decoraive fam achssoit
‘ i sie ers ets 0 ee

\ shock do not emp fo replace lamps or modty sling
4

i
XJ a 5 y NOTE: If the UL laser label
""Bn _-? Each label code is unique with is not attached, it cannot

TTT official certification be certified as UL.
"
815e8Yxr1nS.jpg,"PURITY

QUALITY, INGREDIENTS >”.

& SOURCE

CONSISTENCY

THE SAME GREAT TASTE
EACH & EVERY TIME

QUALITY

MOST DIRECT SUPPLY

SMOKED RED

PAPRIKA

CHAIN IN THE INDUSTRY

"
81PV8C4ZExS.jpg,"‘ USE IN SOUPS, LENTILS,
y / RICE AND MEAT DISHES

Rrcicen Soren

J vave.cucenandrish =6| «— AARIBAD

. % \} “€
q )
ame
=

SMOKED RED |

60g) \Z

"
71kYjxIO5OL.jpg,"200
grams
"
71ew5Y3jdqL.jpg,"HOTCHILISAUCE pagal! P===== aad HOT CHILISAUCE [iietigeate | Pse====
TWT:200 9(7,05 oz) @leeepem) THALES “TWT: 200 9(7.05 oz). Sa

"
71gGE+tE7+L.jpg,"Supplement Facts

Serving Size 1000 mg
Servings Per Container 100

Amount Per Serving

Turmeric Extract (Curcumin Longa)(root) | 1000mg*
(Standardized to contain 95% Curcuminoids)

*Daily Value not established.

Ingredients: Turmeric Extract (Curcuma Longa) (root) (Standardized
to contain 95% Curcuminoids).

Suggested Use: Add 1 tsp of Pure Curcumin Powder to your favorite
beverage and shake well for the proper mixing. You can take this
mixture once or twice daily.

Store in a cool dry place away from direct sunlight. If pregnant,
nursing or taking other medications, please consult with a physician
before use. Keep out of reach of children.

DO NOT USE IF TOP SEALIS BROKEN, MISSING OR DAMAGED.

Manufactured By:
Grenera Nutrients Pvt Ltd, Maps. eiSOOSOK:
37 - B, Puthupalayam, coo ave

Aval Poondurai, atePky
Erode 638115, Exp. Date

Tamil Nadu, India.
4

SSA

Lic.No:10021042000707

For Customer Feedback | order | query
Customer Care Number: +91 - 9944997512
Email: sales@greneraorganics.in

8""907392""001481

www.greneraorganics.in
"
71Itzb+A3eL.jpg,"MUSCLEBLAZE°

ME

4000mg 500mg
L-ARGININE & L- CITRULLINE CARNITINE-TARTRATE

NET
~~ % WEIGHT:

Fruit Splash Flavour af: 4) 250g

"
71sl2vQdmSL.jpg,"“INTERNATIONAL
RECOGNITIONS”

CHOICE

REGULARLY TESTED

WINNER-PRODUCT U.S. PATENT
OF THE YEAR-SPORTS FILED
NUTRITION

4 AsiaStar

BEST LABDOOR, USA
PACKAGING CERTIFIED

"
81FehaI-uBL.jpg,"We believe in working with
nature, not against it. That's
why we use only the highest
quality raw materials in our
Natures Craft products.

"
71ur5DrqxqL.jpg,"‘| Energy-saving,
Impact-Resistant Tempered Glass toes Super-Bright LEDs

Nickel Plated
Screws

Bos
Metal Bracket,

Die-Cast Aluminum Frame Not easy to break
"
71+FLoUAIvL.jpg,"TOP AMINO
PROFILE

BODYLAB

SPORTS NUTRITION

"
